Symbol,Name,Sector,PE_Ratio,PB_Ratio,Sales_Growth,Profit_Margin,Market_Cap,Current_Price,52W_High,52W_Low
CCL,CCL Products (India) Limited,FMCG,36.95,5.98,52.7,8.94,124966281216,937.3,1074.4,521.96
DRREDDY,Dr. Reddy's Laboratories Limited,Pharma,18.0,2.94,9.8,17.13,1053934157824,1265.9,1397.04,1013.57
CIPLA,Cipla Limited,Pharma,22.34,3.69,7.0,19.46,1214929436672,1504.0,1673.0,1320.89
LUPIN,Lupin Limited,Pharma,22.25,4.89,24.2,17.47,959780028416,2101.1,2388.05,1784.1
TORNTPHARM,Torrent Pharmaceuticals Limited,Pharma,60.06,15.25,14.3,17.47,1287954104320,3805.5,3882.2,2880.98
GLENMARK,Glenmark Pharmaceuticals Limited,Pharma,56.26,5.93,76.1,6.31,568239521792,2013.6,2279.21,1272.38
AUROPHARMA,Aurobindo Pharma Limited,Pharma,20.45,2.0,6.3,10.53,700446736384,1206.0,1351.13,1006.22
DIVISLAB,Divi's Laboratories Limited,Pharma,68.03,10.99,16.1,24.78,1694618615808,6383.5,7039.45,4932.54
BIOCON,Biocon Limited,Pharma,99.22,1.89,19.6,2.95,528556556288,395.9,424.95,290.61
LALPATHLAB,Dr. Lal PathLabs Limited,Pharma,43.96,9.84,10.7,20.56,235410685952,1407.6,1766.01,1139.64
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Pharma,61.51,11.27,12.8,7.19,1025256521728,7130.5,8099.5,5993.33
MAXHEALTH,Max Healthcare Institute Limited,Pharma,77.24,10.42,25.1,17.09,1041541365760,1070.5,1314.3,938.97
FORTIS,Fortis Healthcare Limited,Pharma,66.25,7.14,17.3,12.02,672960413696,891.05,1104.3,576.32
METROPOLIS,Metropolis Healthcare Limited,Pharma,62.01,6.84,22.7,10.67,98061230080,1891.2,2258.32,1312.28
NH,Narayana Hrudayalaya Limited,Pharma,44.93,9.32,17.4,14.18,378415611904,1863.2,2364.63,1253.6
ALKEM,Alkem Laboratories Limited,Pharma,27.9,4.94,17.2,17.0,659102040064,5512.5,5868.0,4484.27
NATCOPHARM,NATCO Pharma Limited,Pharma,10.47,1.86,-0.6,35.05,161118289920,899.55,1411.76,723.83
MARUTI,Maruti Suzuki India Limited,FMCG,35.3,5.23,13.1,9.2,5212480208896,16579.0,16720.0,10634.99
M&M,Mahindra & Mahindra Limited,FMCG,28.68,4.89,21.2,8.0,4352328073216,3626.8,3795.0,2405.67
HEROMOTOCO,Hero MotoCorp Limited,FMCG,21.19,5.33,16.6,12.53,1118456250368,5589.0,6388.5,3294.19
EICHERMOT,Eicher Motors Limited,FMCG,39.27,9.07,44.8,23.99,2004030193664,7306.0,7374.5,4586.53
BAJAJ-AUTO,Bajaj Auto Limited,FMCG,30.5,7.43,19.5,14.9,2540085182464,9097.0,9490.0,6914.12
ASHOKLEY,Ashok Leyland Limited,Manufacturing,31.37,8.09,12.8,6.39,1020817113088,173.79,178.3,93.63
TVSMOTOR,TVS Motor Company Limited,FMCG,65.95,21.19,23.8,5.36,1718542139392,3618.6,3734.9,2162.43
FORCEMOT,Force Motors Limited,FMCG,22.99,7.07,7.2,12.49,247885021184,18813.0,21941.56,6111.51
BOSCHLTD,Bosch Limited,FMCG,39.23,7.52,9.1,14.3,1054643650560,35725.0,41945.0,25574.49
MOTHERSON,Samvardhana Motherson International Limited,FMCG,41.64,3.41,8.0,2.8,1261466943488,119.52,122.8,71.33
MRF,MRF Limited,FMCG,34.16,3.26,7.2,6.36,633539526656,149330.0,163596.78,101966.68
APOLLOTYRE,Apollo Tyres Limited,FMCG,40.67,2.07,6.1,2.96,321932361728,507.95,540.5,366.97
BHARATFORG,Bharat Forge Limited,FMCG,63.58,7.36,9.3,7.06,690367430656,1441.4,1470.6,914.85
EXIDEIND,Exide Industries Limited,FMCG,39.29,2.11,-1.9,4.53,309609627648,364.2,431.0,326.29
LT,Larsen & Toubro Limited,Manufacturing,34.06,5.5,10.7,5.95,5574266716160,4052.3,4140.0,2937.9
SUNDRMFAST,Sundram Fasteners Limited,FMCG,35.11,4.8,2.4,9.19,194641903616,926.3,1093.35,824.11
SCHNEIDER,Schneider Electric Infrastructure Limited,Manufacturing,66.93,26.31,8.4,9.53,173302595584,724.8,1052.0,540.0
ABB,ABB India Limited,Manufacturing,62.17,15.28,13.7,13.56,1099730649088,5188.0,6893.07,4647.15
MINDACORP,Minda Corporation Limited,FMCG,51.3,5.52,19.0,4.86,134744121344,572.5,619.95,444.23
SIEMENS,Siemens Limited,Manufacturing,65.01,8.9,-20.0,10.74,1098452697088,3084.0,3942.49,2450.0
BHEL,Bharat Heavy Electricals Limited,Manufacturing,177.75,4.05,14.1,1.91,990298767360,284.4,295.25,175.63
THERMAX,Thermax Limited,Manufacturing,57.31,6.74,-5.3,5.81,340342112256,3021.3,4392.23,2742.7
VOLTAS,Voltas Limited,FMCG,83.83,7.26,-10.4,3.87,459598888960,1389.0,1849.08,1128.7
BLUEDART,Blue Dart Express Limited,Manufacturing,48.31,7.88,7.0,4.5,128522354688,5416.5,7193.83,5242.5
CROMPTON,Crompton Greaves Consumer Electricals Limited,FMCG,34.75,4.82,1.0,6.11,164455858176,255.4,398.4,248.0
HAVELLS,Havells India Limited,Manufacturing,60.61,10.25,5.3,6.75,889694650368,1418.3,1710.26,1376.01
WHIRLPOOL,Whirlpool of India Limited,FMCG,32.76,1.41,-3.8,4.5,114837086208,905.1,1882.59,887.7
VGUARD,V-Guard Industries Limited,Manufacturing,49.38,6.51,3.6,5.17,141891977216,325.4,448.27,298.84
ORIENTELEC,Orient Electric Limited,FMCG,42.88,5.3,6.4,2.79,37876715520,177.52,248.07,155.35
AMBER,Amber Enterprises India Limited,FMCG,102.15,6.35,-2.2,2.03,231818919936,6591.0,8626.0,5235.0
RRKABEL,R R Kabel Limited,Manufacturing,41.03,7.07,19.5,4.89,165483429888,1463.3,1562.6,848.87
KEI,KEI Industries Limited,Manufacturing,52.97,6.82,19.6,7.39,422625411072,4419.0,4568.4,2424.0
POLYCAB,Polycab India Limited,Manufacturing,46.44,10.77,17.8,10.01,1140988444672,7577.0,7903.0,4529.65
HPL,HPL Electric & Power Limited,Manufacturing,26.72,2.69,2.9,5.63,25655894016,399.0,638.58,338.3
JSWSTEEL,JSW Steel Limited,Manufacturing,44.86,3.25,13.8,3.45,2697549316096,1104.4,1223.9,877.64
TATASTEEL,Tata Steel Limited,Manufacturing,31.72,2.27,8.9,3.07,2155759009792,172.87,186.94,119.83
SAIL,Steel Authority of India Limited,Manufacturing,22.17,0.98,8.2,2.4,567800692736,137.24,145.9,97.92
VEDL,Vedanta Limited,Manufacturing,20.11,5.95,5.5,7.72,2392780177408,612.7,616.0,344.65
JINDALSTEL,Jindal Steel Limited,Manufacturing,37.14,2.06,4.2,5.61,1021456351232,1003.9,1098.0,721.92
HINDALCO,Hindalco Industries Limited,Manufacturing,11.02,1.45,13.5,7.0,1966465220608,879.8,887.45,542.47
COALINDIA,Coal India Limited,Energy,7.9,2.34,18.5,23.91,2464166969344,399.85,412.4,330.62
HINDZINC,Hindustan Zinc Limited,Manufacturing,25.96,20.04,3.5,31.82,2745823395840,649.85,656.35,370.78
NMDC,NMDC Limited,Manufacturing,10.27,2.22,29.7,26.33,722098323456,82.06,84.15,56.91
MOIL,MOIL Limited,Manufacturing,24.65,2.75,19.2,20.13,74272104448,365.0,402.9,271.46
APARINDS,APAR Industries Limited,Manufacturing,36.75,7.11,23.1,4.53,345608716288,8591.0,11710.57,4282.69
JINDALSAW,Jindal Saw Limited,Manufacturing,7.73,0.88,-24.0,7.37,105903292416,166.21,299.17,153.0
ULTRACEMCO,UltraTech Cement Limited,Manufacturing,47.54,4.81,25.4,8.93,3463139295232,11774.0,13097.0,9984.56
RATNAMANI,Ratnamani Metals & Tubes Limited,Manufacturing,26.9,4.21,22.7,11.28,163033989120,2326.0,3310.43,2242.84
AMBUJACEM,Ambuja Cements Limited,Manufacturing,24.02,2.42,22.1,14.65,1363573473280,551.55,624.95,453.34
SHREECEM,Shree Cement Limited,Manufacturing,55.47,4.24,17.4,8.53,952795594752,26380.0,32398.19,24655.23
ACC,ACC Limited,Manufacturing,9.78,1.63,28.6,13.94,325452529664,1732.0,2111.38,1725.0
ORIENTCEM,Orient Cement Limited,Manufacturing,11.4,1.7,18.3,10.3,34977488896,170.24,361.69,150.65
KCP,The KCP Limited,Manufacturing,15.65,1.43,-0.2,5.97,23490725888,182.21,244.7,167.34
JKLAKSHMI,JK Lakshmi Cement Limited,Manufacturing,19.91,2.59,24.1,7.22,95895363584,772.45,1021.2,655.41
RAMCOCEM,The Ramco Cements Limited,Manufacturing,68.01,3.33,9.5,4.28,251178811392,1063.0,1206.92,786.84
BIRLACORPN,Birla Corporation Limited,Manufacturing,16.53,1.15,13.0,5.11,82362081280,1069.3,1523.31,903.14
IRB,IRB Infrastructure Developers Limited,Manufacturing,3.86,1.26,-8.7,94.92,254062002176,42.06,60.64,40.45
PNCINFRA,PNC Infratech Limited,Manufacturing,8.01,0.97,-21.0,13.99,64401592320,251.04,338.14,239.53
KEC,KEC International Limited,Manufacturing,28.61,3.48,19.1,2.93,196282564608,737.35,1234.76,623.52
BHARTIARTL,Bharti Airtel Limited,Telecom,32.66,10.32,25.7,19.8,12775429505024,2097.4,2174.5,1546.57
RCOM,Reliance Communications Limited,Telecom,,,-1.1,,3068519936,1.11,1.98,1.05
IDEA,Vodafone Idea Limited,Telecom,,,2.3,-58.58,1294122352640,11.93,12.22,6.12
NCC,NCC Limited,Manufacturing,12.75,1.34,-12.6,3.74,101095858176,161.02,278.17,152.2
MTNL,Mahanagar Telephone Nigam Limited,Telecom,,,8.9,,23429699584,37.19,58.2,34.0
TATACOMM,Tata Communications Limited,Telecom,35.66,17.96,5.8,6.92,511261507584,1793.9,2004.0,1272.01
DLF,DLF Limited,Real Estate,40.1,3.99,-16.8,47.51,1718472015872,694.05,880.36,596.83
GODREJPROP,Godrej Properties Limited,Real Estate,38.8,3.3,-32.3,36.33,603918696448,2005.0,2848.0,1900.0
PRESTIGE,Prestige Estates Projects Limited,Real Estate,91.39,4.36,5.5,9.66,690460557312,1603.0,1811.91,1046.85
SOBHA,Sobha Limited,Real Estate,105.09,3.43,50.8,3.15,157961797632,1477.5,1732.5,1073.18
MINDSPACE,"MINDSPACE.NS,0P0001KHWX,214689",Others,64.86,1.55,,,210204901376,345.06,501.91,336.24
PHOENIXLTD,The Phoenix Mills Limited,Real Estate,61.0,6.1,21.5,27.19,657945133056,1839.9,1871.0,1400.25
OBEROIRLTY,Oberoi Realty Limited,Real Estate,27.38,3.65,34.8,41.91,610998091776,1679.5,2326.81,1446.78
BRIGADE,Brigade Enterprises Limited,Real Estate,26.55,3.31,29.0,14.23,214933028864,878.6,1328.58,838.5
KOLTEPATIL,Kolte-Patil Developers Limited,Real Estate,45.59,2.83,-55.0,4.9,34687258624,390.7,497.55,239.0
MAHLIFE,Mahindra Lifespace Developers Limited,Real Estate,44.34,2.21,130.7,71.55,83320553472,390.6,469.96,276.59
UPL,UPL Limited,Manufacturing,30.04,2.0,8.4,4.59,657687117824,778.85,786.3,488.53
DEEPAKNTR,Deepak Nitrite Limited,Manufacturing,45.88,4.42,-6.4,6.75,244202061824,1789.6,2569.37,1514.0
RALLIS,Rallis India Limited,Manufacturing,30.56,2.63,-7.2,6.36,53838716928,276.85,385.9,194.48
SRF,SRF Limited,Manufacturing,56.68,6.91,6.3,10.6,917227372544,3094.3,3320.65,2191.29
GHCL,GHCL Limited,Manufacturing,9.46,1.48,-9.0,18.51,51813957632,563.55,764.14,501.3
TATACHEM,Tata Chemicals Limited,Manufacturing,96.01,0.87,-3.1,1.5,194200698880,762.3,1048.9,745.1
GSFC,Gujarat State Fertilizers & Chemicals Limited,Manufacturing,10.79,0.58,21.0,6.61,72066121728,180.78,215.43,154.6
PIIND,PI Industries Limited,Manufacturing,32.42,4.53,-15.7,20.27,490122805248,3230.8,4319.4,2943.88
RCF,Rashtriya Chemicals and Fertilizers Limited,Manufacturing,25.72,1.63,23.4,1.85,80320274432,145.59,182.74,109.8
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Manufacturing,11.43,0.84,2.7,8.46,72928215040,495.0,565.12,433.96
FACT,The Fertilisers and Chemicals Travancore Limited,Manufacturing,569.72,42.89,12.5,2.22,589838483456,911.55,1111.56,564.78
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Manufacturing,10.13,1.92,47.5,9.56,188747300864,471.1,727.39,410.2
COROMANDEL,Coromandel International Limited,Manufacturing,29.42,5.8,29.9,8.39,707951132672,2396.9,2718.9,1589.96
RAYMOND,Raymond Limited,Manufacturing,53.17,0.86,11.4,271.84,27921651712,419.55,1838.5,416.1
TRIDENT,Trident Limited,FMCG,30.95,2.91,4.3,6.32,135639031808,26.62,34.34,22.76
ARVIND,Arvind Limited,FMCG,19.74,2.11,8.4,4.73,81297580032,309.6,425.26,274.8
SPANDANA,Spandana Sphoorty Financial Limited,Banking,6.2,0.93,,,24158695424,272.55,519.65,193.0
KPRMILL,K.P.R. Mill Limited,FMCG,38.41,6.01,10.3,12.51,321407713280,940.3,1386.11,753.93
GARFIBRES,Garware Technical Fibres Limited,FMCG,33.88,5.33,-17.3,13.61,69343313920,696.5,973.23,646.55
SUNTV,Sun TV Network Limited,Telecom,13.79,1.81,39.1,36.83,223189811200,566.35,685.37,514.58
BOMDYEING,The Bombay Dyeing and Manufacturing Company Limited,FMCG,27.47,1.17,-4.7,6.43,26725613568,129.4,197.54,116.67
NETWORK18,Network18 Media & Investments Limited,Telecom,,1.34,-72.7,-44.23,67411595264,43.7,74.6,39.66
TVTODAY,T.V. Today Network Limited,Telecom,29.61,0.95,-9.3,2.35,8341842944,139.44,222.62,130.57
JAGRAN,Jagran Prakashan Limited,Telecom,9.0,0.8,4.7,8.97,15553573888,71.46,78.63,60.32
TITAN,Titan Company Limited,FMCG,86.21,27.89,28.8,6.08,3572042301440,4026.9,4029.3,2916.22
DBCORP,D. B. Corp Limited,Telecom,13.55,2.03,9.9,14.57,46761881600,262.35,307.01,185.73
HTMEDIA,HT Media Limited,Telecom,30.26,0.33,6.5,0.95,5320360960,23.0,28.64,15.1
RELAXO,Relaxo Footwears Limited,FMCG,56.99,4.7,-7.5,6.59,99801341952,400.1,635.38,387.89
ZEEL,Zee Entertainment Enterprises Limited,Telecom,15.34,0.76,-1.6,7.19,87839498240,91.45,148.58,87.48
BLUESTARCO,Blue Star Limited,Manufacturing,66.09,11.67,6.4,4.47,361838018560,1760.0,2405.45,1513.73
BATAINDIA,Bata India Limited,FMCG,70.38,7.91,-4.3,4.94,120404590592,936.8,1467.83,931.1
ASIANPAINT,Asian Paints Limited,Manufacturing,67.85,13.5,6.3,11.35,2643886866432,2758.0,2985.7,2102.05
WESTLIFE,Westlife Foodworld Limited,FMCG,228.03,13.62,3.6,1.48,84690722816,545.0,892.42,513.0
BERGEPAINT,Berger Paints India Limited,Manufacturing,58.35,10.04,1.9,9.21,630690807808,540.95,600.97,434.83
AKZOINDIA,Akzo Nobel India Limited,Manufacturing,7.13,6.29,-15.0,51.01,141894500352,3115.8,3759.14,2870.24
KANSAINER,Kansai Nerolac Paints Limited,Manufacturing,16.51,2.92,0.1,14.58,189025320960,233.55,266.94,214.79
INDIGOPNTS,Indigo Paints Limited,Manufacturing,37.23,5.0,4.2,10.65,53646217216,1120.6,1433.58,907.2
TNPL,Tamil Nadu Newsprint and Papers Limited,Manufacturing,3.94,0.49,21.4,-0.43,10153194496,146.7,201.0,113.4
BALKRISHNA,Balkrishna Paper Mills Limited,FMCG,,,,36.15,593806016,18.43,26.75,16.2
STAR,Strides Pharma Science Limited,Pharma,21.1,3.04,1.6,8.48,83808034816,909.25,1025.0,510.74
DHAMPURSUG,Dhampur Sugar Mills Limited,FMCG,14.35,0.71,19.7,2.77,8038313472,125.0,170.99,110.0
BALRAMCHIN,Balrampur Chini Mills Limited,FMCG,21.89,2.25,28.7,6.86,88393703424,437.7,623.08,407.8
DCM,DCM Limited,Manufacturing,6.64,3.63,6.0,37.84,1742209920,93.0,136.0,89.0
ADANIENT,Adani Enterprises Limited,Energy,34.34,5.0,-6.0,8.42,2880225673216,2228.1,2695.0,2025.55
TRIVENI,Triveni Engineering & Industries Limited,FMCG,33.6,2.85,14.4,4.22,87679582208,400.55,532.19,310.88
GOODYEAR,Goodyear India Limited,Others,21.73,5.11,-12.6,1.67,30374543360,1273.0,1654.9,891.1
JKTYRE,JK Tyre & Industries Limited,FMCG,25.92,2.65,10.8,3.5,146076303360,506.7,522.05,240.87
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Manufacturing,26.48,4.72,29.7,34.42,3374717337600,1464.6,1549.0,1005.86
CUB,City Union Bank Limited,Banking,17.76,2.15,17.6,37.97,213501689856,287.7,297.9,141.58
TATAELXSI,Tata Elxsi Limited,IT,49.52,12.27,-3.9,18.18,331767316480,5323.0,6887.78,4647.43
SOUTHBANK,The South Indian Bank Limited,Banking,7.21,0.92,6.7,27.69,97984282624,37.4,41.65,22.0
CENTRALBK,Central Bank of India,Banking,7.12,0.86,0.3,27.57,332639010816,36.75,55.62,32.26
INDIANB,Indian Bank,Banking,9.28,1.36,10.0,34.11,1046070493184,776.2,894.85,462.09
UCOBANK,UCO Bank,Banking,13.9,1.12,1.0,21.15,359250722816,28.64,45.67,26.47
GVKPIL,GVK Power & Infrastructure Limited,Utilities,,,-99.7,,4988890112,3.15,5.0,2.95
POLICYBZR,PB Fintech Limited,Banking,192.69,12.97,38.2,8.01,882816778240,1913.4,2246.9,1311.35
KARURVYSYA,The Karur Vysya Bank Limited,Banking,11.85,1.95,10.9,36.65,249513345024,258.13,271.78,153.09
CONCOR,Container Corporation of India Limited,Manufacturing,30.17,3.08,2.9,14.55,395812372480,519.55,779.58,475.98
SPICEJET,SpiceJet Limited,Others,74.62,,-13.4,-10.68,19138703360,31.8,41.34,22.26
INDIGO,InterGlobe Aviation Limited,Manufacturing,38.56,22.77,9.3,6.13,1966586331136,5087.0,6232.5,3938.34
JETAIRWAYS,Jet Airways (India) Limited,Manufacturing,,,199.8,,3880486656,34.16,34.16,34.16
LEMONTREE,Lemon Tree Hotels Limited,FMCG,57.86,10.3,7.7,16.21,127368691712,160.85,180.68,117.51
TAJGVK,TAJGVK Hotels & Resorts Limited,FMCG,20.99,3.93,-0.2,27.54,27103143936,432.1,525.71,328.71
CARTRADE,CarTrade Tech Limited,FMCG,73.74,5.59,25.4,26.28,131089645568,2740.0,3290.5,1294.0
AARTIIND,Aarti Industries Limited,Manufacturing,47.06,2.41,29.1,3.84,136915820544,377.45,493.68,343.28
ABCAPITAL,Aditya Birla Capital Limited,Banking,27.9,2.81,-3.1,11.04,904787853312,345.65,368.95,149.01
ABBOTINDIA,Abbott India Limited,Pharma,40.65,15.31,7.6,22.47,614211059712,28905.0,36491.76,24977.13
ABFRL,Aditya Birla Fashion and Retail Limited,FMCG,12.35,1.49,-45.6,-7.03,93149487104,76.59,295.7,70.55
APLLTD,Alembic Pharmaceuticals Limited,Pharma,26.11,3.12,15.9,8.96,165781340160,843.4,1111.59,717.23
ATUL,Atul Ltd,Manufacturing,33.07,3.04,11.4,9.19,179609436160,6100.5,7762.06,4736.17
ACCELYA,Accelya Solutions India Limited,IT,15.47,7.02,7.1,23.46,19505979392,1306.5,1489.95,1186.0
AUBANK,AU Small Finance Bank Limited,Banking,33.32,3.94,6.1,24.0,721530126336,967.95,1007.25,488.85
ASTRAL,Astral Limited,Manufacturing,72.58,9.75,15.1,8.46,368507420672,1371.7,1669.19,1228.98
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Banking,30.64,5.49,19.6,39.16,1427208011776,1691.1,1782.0,1168.17
CASTROLIND,Castrol India Limited,Energy,19.26,10.32,5.8,17.33,188032172032,190.1,237.84,153.49
GRASIM,Grasim Industries Limited,Manufacturing,44.49,1.93,18.9,2.69,1922831876096,2833.3,2977.8,2268.7
ESCORTS,Escorts Kubota Limited,Manufacturing,32.4,3.41,12.2,22.04,405048393728,3678.7,4180.0,2761.55
